1.collectionobject.catalogNumber,"1,10.collectingevent.startDateNumericYear","1,10.collectingevent.startDate","1,9-determinations.collectionobject.determinations","1,10,30-collectors.collectingevent.collectors","1,10,30-collectors,5.agent.abbreviation","1,9-determinations,5-determiner.determination.determiner","1,9-determinations.determination.determinedDate","1,10,2.locality.localityName","1,10,2.collectingevent.locality","1,10,2,3.locality.geography","1,111-collectionobjectattachments,41.attachment.attachmentLocation"
715266,1933,31/07/1933,Taraxacum croceum (current) ,"Jørgensen,, M.",,,,Sydøst-Grønland. Adingat ved Ikerasausak.,Sydøst-Grønland. Adingat ved Ikerasausak.; Greenland,Greenland,
715267,1933,24/07/1933,Taraxacum croceum (current) ,"Bøgvad,, Rich.",,,,Sydøst-Grønland. Loc. 12. Nordside af Lille Fjord paa Sermiliks Østside. Lavland.,Sydøst-Grønland. Loc. 12. Nordside af Lille Fjord paa Sermiliks Østside. Lavland.; Greenland,Greenland,
715268,1933,20/07/1933,Taraxacum croceum (current) ,"Bøgvad,, Rich.",,,,Sydøst-Grønland. Loc. 6. Sermilik s.f. nordre Tasiusak.,Sydøst-Grønland. Loc. 6. Sermilik s.f. nordre Tasiusak.; Greenland,Greenland,
715270,1933,31/07/1933,Taraxacum croceum (current) ,"Bøgvad,, Rich.",,,,Sydøst-Grønland. Depot Ø. Anarena-Boplads.,Sydøst-Grønland. Depot Ø. Anarena-Boplads.; Greenland,Greenland,
715272,1933,05/08/1933,Taraxacum croceum (current) ,"Bøgvad,, Rich.",,,,Sydøst-Grønland. Lakefjord.,Sydøst-Grønland. Lakefjord.; Greenland,Greenland,
715274,1933,31/07/1933,Taraxacum croceum (current) ,"Jørgensen,, M.",,,,Sydøst-Grønland. Station nær Komiut. Adingat.,Sydøst-Grønland. Station nær Komiut. Adingat.; Greenland,Greenland,
715280,1931,28/08/1931,Taraxacum croceum (current) ,"Bartlett, Robert",,,,Angmagsalik.,Angmagsalik.; Greenland,Greenland,
715281,1892,24/09/1892,Taraxacum officinale (current) ,"Bay,, E.",,,,Groenlandiam orientalem. Tasiusak pr. Angmagsalik.,Groenlandiam orientalem. Tasiusak pr. Angmagsalik.; Greenland,Greenland,
715282,1892,11/09/1892,Taraxacum officinale (current) ,"Bay,, E.",,,,unknown:covereddiam orientalem. Tasiusak pr. Angmagsalik.,unknown:covereddiam orientalem. Tasiusak pr. Angmagsalik.; Greenland,Greenland,
715286,1933,21/09/1933,Taraxacum croceum (current) ,"Bøgvad,, Rich.",,,,Sydøst-Grønland. Ø vest for Kitak. Ikerasarsík.,Sydøst-Grønland. Ø vest for Kitak. Ikerasarsík.; Greenland,Greenland,
715299,1932,27/08/1932,Taraxacum croceum (current) ,"Bøgvad,, Rich.",,,,"Sydøst-Grønland. Kangerdluluk, Nordside, Syenitbugt.","Sydøst-Grønland. Kangerdluluk, Nordside, Syenitbugt.; Greenland",Greenland,
715300,1932,14/07/1932,Taraxacum croceum (current) ,"Bøgvad,, Rich.",,,,Sydøst-Grønland. Kap Rantzau.,Sydøst-Grønland. Kap Rantzau.; Greenland,Greenland,
715301,1932,24/07/1932,Taraxacum croceum (current) ,"Devold,",,,,South East Greenland. Skjoldungenområdet: Dron. Marias dal.,South East Greenland. Skjoldungenområdet: Dron. Marias dal.; Greenland,Greenland,
715317,1932,27/07/1932,Taraxacum croceum (current) ,"Bøgvad,, Rich.",,,,"Sydøst-Grønland. Agnatfjord i Umanak-Fjord, Østdalen.","Sydøst-Grønland. Agnatfjord i Umanak-Fjord, Østdalen.; Greenland",Greenland,
715318,1931,1931,Taraxacum croceum (current) ,"Rasmussen,, Knud",,,,Sydøst-Grønland. Ebbas Havn.,Sydøst-Grønland. Ebbas Havn.; Greenland,Greenland,
715319,1931,04/08/1931,Taraxacum croceum (current) ,"Bjorlykke,, Björn",,,,Söxaust=Grônland. Marriadalen.,Söxaust=Grônland. Marriadalen.; Greenland,Greenland,
715334,1932,1932,Taraxacum croceum (current) ,,,,,unknown:missing,unknown:missing; Greenland,Greenland,
715349,1916,18/07/1916,Taraxacum phymatocarpum (current) ,"Koch,, Lange",,,,"NW Greenl., Wolstenholme Sound: Thule, old stringle bed behind the station.","NW Greenl., Wolstenholme Sound: Thule, old stringle bed behind the station.; Greenland",Greenland,
715354,1927,07/1927,Taraxacum phymatocarpum (current) ,"Robinson,, R.A.",,,,Inglefield Ld.,Inglefield Ld.; Greenland,Greenland,
715357,1919,1919,Taraxacum phymatocarpum (current) ,"Nygaard,, J.N.",,,,NW Greenl. Wolstenholme Sound: Thule.,NW Greenl. Wolstenholme Sound: Thule.; Greenland,Greenland,
715361,1914,23/06/1914,Taraxacum phymatocarpum (current) ,"Ekblaw,, W.",,,,"Thule, N.W. Greenland. Region of North Star Bay. Eider Duck Rock.","Thule, N.W. Greenland. Region of North Star Bay. Eider Duck Rock.; Greenland",Greenland,
715437,1917,12/07/1917,Taraxacum hyparcticum (current) ,"Wulff,, Thorild",,,,Grønlands Nordkyst. Sommerdalen.,Grønlands Nordkyst. Sommerdalen.; Greenland,Greenland,
715444,1892,07/07/1892,Taraxacum croceum (current) ,"Hartz,, N.",,,,Groenlandiam orientalem. Scoresby Sund.,Groenlandiam orientalem. Scoresby Sund.; Greenland,Greenland,
715445,1892,07/07/1892,Taraxacum croceum (current) ,"Hartz,, N.",,,,Groenlandiam orientalem. Scoresby Sund.,Groenlandiam orientalem. Scoresby Sund.; Greenland,Greenland,
715446,1891,09/1891,Taraxacum croceum (current) ,"Hartz,, N.",,,,Groenlandiam orientalem. Danmark Ø.,Groenlandiam orientalem. Danmark Ø.; Greenland,Greenland,
715449,1933,26/07/1933,Taraxacum croceum (current) ,"Noe-Nygaard,, A.",,,,East Greenland. Liverpool Coast: Head of Store Fjord.,East Greenland. Liverpool Coast: Head of Store Fjord.; Greenland,Greenland,
715457,1932,10/08/1932,Taraxacum croceum (current) ,"Böcher,, Tyge",,,,Kangerdlugsuak. Fjæld bag Sundet (Fardlandet) Sydexp. skrænt.,Kangerdlugsuak. Fjæld bag Sundet (Fardlandet) Sydexp. skrænt.; Greenland,Greenland,
715459,1855,1855,Taraxacum croceum (current) ,"Mission, Setzen",,,,Lichtenfels.,Lichtenfels.; Greenland,Greenland,
715590,1909,07/1909,Taraxacum croceum var. Dahlst. (current) ,"Porsild,, Morten",,,,Nûgssuaq Sondre Niaqornarssuk.,Nûgssuaq Sondre Niaqornarssuk.; Greenland,Greenland,
715606,1902,28/07/1902,Taraxacum croceum (current) ,"Porsild,, Morten",,,,"Groenl. occident.; Disco, Hammers Dal. Ved Sóbredden.","Groenl. occident.; Disco, Hammers Dal. Ved Sóbredden.; Greenland",Greenland,
715607,1902,07/08/1902,Taraxacum croceum (current) ,"Porsild,, Morten",,,,"Groenl. occident.; Disco, Kamavit.","Groenl. occident.; Disco, Kamavit.; Greenland",Greenland,
715608,1902,26/07/1902,Taraxacum croceum (current) ,"Porsild,, Morten",,,,"Groenl. occident.; Disco, Dalen Ø f. Igdlorpait.","Groenl. occident.; Disco, Dalen Ø f. Igdlorpait.; Greenland",Greenland,
715609,1904,26/07/1904,Taraxacum croceum (current) ,"Kleist,, G.",,,,West Greenland. Godhavn.,West Greenland. Godhavn.; Greenland,Greenland,
715610,1933,01/08/1933,Taraxacum croceum (current) ,"Porsild,, Morten",,,,"Groenl. Occid. Disko, nær Arktisk Station.","Groenl. Occid. Disko, nær Arktisk Station.; Greenland",Greenland,
715611,1902,03/07/1902,Taraxacum croceum (current) ,"Porsild,, Morten",,,,"Groenl. Occident.; Disco, Aumarutigsat.","Groenl. Occident.; Disco, Aumarutigsat.; Greenland",Greenland,
715612,1934,23/07/1934,Taraxacum croceum (current) ,"Porsild,, Morten",,,,"Groenl. Occid. Disko, nær Arktisk Station.","Groenl. Occid. Disko, nær Arktisk Station.; Greenland",Greenland,
715613,1898,16/08/1898,Taraxacum croceum (current) ,"Pedersen,, Morten",,,,"Groenl. Occident.; Disco, Engelskmandens Havn.","Groenl. Occident.; Disco, Engelskmandens Havn.; Greenland",Greenland,
715633,1914,10/06/1914,Taraxacum islandiciforme (current) ,"Nygaard,, J.N.",,,,Groenl. occid. Elvleje ved Ameralik-fjorden.,Groenl. occid. Elvleje ved Ameralik-fjorden.; Greenland,Greenland,
715646,1932,23/06/1932,Taraxacum croceum (current) ,"Iversen,, Johs.",,,,"Kilarsafik, Nordboplads.","Kilarsafik, Nordboplads.; Greenland",Greenland,
715647,1932,02/07/1932,Taraxacum croceum (current) ,"Iversen,, Johs.",,,,"Urteli, Ujaragssuit.","Urteli, Ujaragssuit.; Greenland",Greenland,
715674,1914,03/08/1914,Taraxacum croceum (current) ,"Porsild,, Morten",,,,"Qeqertalik, Naujarssuit.","Qeqertalik, Naujarssuit.; Greenland",Greenland,
